"station_id","history_id","station_name","lon","lat","province","elev","freq","network_id","native_id"
6626,8410,"Penticton Airport",-119.602222222222,49.4630555555556,"BC",344.12,"daily",19,"1126150"
6626,8461,"Penticton Airport",-119.602222222222,49.4625,"BC",344.12,"1-hourly",19,"1126150"
6626,8436,"Penticton Airport",-119.602222222222,49.4630555555556,"BC",344.12,"daily",19,"1126150"
6626,8467,"Penticton Airport",-119.602222222222,49.4625,"BC",344.12,"1-hourly",19,"1126150"
6626,8468,"Penticton Airport",-119.602222222222,49.4630555555556,"BC",344.12,"daily",19,"1126150"
6626,8452,"Penticton Airport",-119.602222222222,49.4630555555556,"BC",344.12,"daily",19,"1126150"
6626,8429,"Penticton Airport",-119.602222222222,49.4625,"BC",344.12,"1-hourly",19,"1126150"
6626,8465,"Penticton Airport",-119.602222222222,49.4625,"BC",344.12,"1-hourly",19,"1126150"
6627,8474,"Pitt Meadows",-122.690021111111,49.2083233333333,"BC",5,"1-hourly",19,"1106178"
6627,8312,"Pitt Meadows",-122.690166666667,49.2083055555556,"BC",5,"1-hourly",19,"1106178"
6628,8516,"Point Atkinson",-123.264722222222,49.3302777777778,"BC",35,"daily",19,"1106200"
6628,8540,"Point Atkinson",-123.264722222222,49.3302777777778,"BC",35,"daily",19,"1106200"
6628,8544,"Point Atkinson",-123.264722222222,49.3302777777778,"BC",35,"daily",19,"1106200"
6628,8524,"Point Atkinson",-123.264722222222,49.3302777777778,"BC",35,"daily",19,"1106200"
6628,8546,"Point Atkinson",-123.264666666667,49.3303888888889,"BC",35,"1-hourly",19,"1106200"
6628,8475,"Point Atkinson",-123.264666666667,49.3303888888889,"BC",35,"1-hourly",19,"1106200"
6628,8514,"Point Atkinson",-123.264666666667,49.3303888888889,"BC",35,"1-hourly",19,"1106200"
6628,8481,"Point Atkinson",-123.264722222222,49.3302777777778,"BC",35,"daily",19,"1106200"
6628,8536,"Point Atkinson",-123.264722222222,49.3302777777778,"BC",35,"daily",19,"1106200"
6628,8538,"Point Atkinson",-123.264666666667,49.3303888888889,"BC",35,"1-hourly",19,"1106200"
6628,8530,"Point Atkinson",-123.264666666667,49.3303888888889,"BC",35,"1-hourly",19,"1106200"
6628,8477,"Point Atkinson",-123.264722222222,49.3302777777778,"BC",35,"daily",19,"1106200"
6628,8528,"Point Atkinson",-123.264722222222,49.3302777777778,"BC",35,"daily",19,"1106200"
6628,8526,"Point Atkinson",-123.264666666667,49.3303888888889,"BC",35,"1-hourly",19,"1106200"
6628,8550,"Point Atkinson",-123.264666666667,49.3303888888889,"BC",35,"1-hourly",19,"1106200"
